CPU Load: 57.07% | Memory Usage: 29.91% | CPU Temperature: 61.25 °C
CPU Load: 62.98% | Memory Usage: 29.86% | CPU Temperature: 61.25 °C
CPU Load: 60.30% | Memory Usage: 29.86% | CPU Temperature: 60.62 °C
CPU Load: 54.79% | Memory Usage: 29.86% | CPU Temperature: 61.25 °C
CPU Load: 51.33% | Memory Usage: 29.86% | CPU Temperature: 60.00 °C
CPU Load: 48.57% | Memory Usage: 29.91% | CPU Temperature: 62.50 °C
CPU Load: 55.14% | Memory Usage: 29.91% | CPU Temperature: 61.25 °C
CPU Load: 65.55% | Memory Usage: 29.91% | CPU Temperature: 62.50 °C
CPU Load: 53.28% | Memory Usage: 29.96% | CPU Temperature: 61.25 °C
CPU Load: 62.86% | Memory Usage: 29.86% | CPU Temperature: 60.62 °C
CPU Load: 33.61% | Memory Usage: 29.96% | CPU Temperature: 60.00 °C
CPU Load: 62.90% | Memory Usage: 29.86% | CPU Temperature: 61.87 °C
CPU Load: 56.80% | Memory Usage: 29.96% | CPU Temperature: 60.62 °C
CPU Load: 36.89% | Memory Usage: 29.96% | CPU Temperature: 60.62 °C
CPU Load: 34.63% | Memory Usage: 29.91% | CPU Temperature: 60.00 °C
CPU Load: 16.84% | Memory Usage: 26.65% | CPU Temperature: 55.55 °C
CPU Load: 42.98% | Memory Usage: 29.96% | CPU Temperature: 62.50 °C
CPU Load: 56.81% | Memory Usage: 29.91% | CPU Temperature: 62.50 °C
CPU Load: 60.24% | Memory Usage: 29.91% | CPU Temperature: 62.50 °C
CPU Load: 59.73% | Memory Usage: 29.91% | CPU Temperature: 61.87 °C
CPU Load: 53.04% | Memory Usage: 29.91% | CPU Temperature: 62.50 °C
CPU Load: 64.92% | Memory Usage: 29.86% | CPU Temperature: 63.75 °C
CPU Load: 65.32% | Memory Usage: 29.86% | CPU Temperature: 62.50 °C
CPU Load: 56.11% | Memory Usage: 29.86% | CPU Temperature: 63.12 °C
CPU Load: 48.32% | Memory Usage: 29.81% | CPU Temperature: 61.25 °C
CPU Load: 65.25% | Memory Usage: 29.86% | CPU Temperature: 61.87 °C
CPU Load: 50.59% | Memory Usage: 29.91% | CPU Temperature: 61.25 °C
CPU Load: 89.19% | Memory Usage: 30.43% | CPU Temperature: 61.87 °C
CPU Load: 55.91% | Memory Usage: 30.38% | CPU Temperature: 62.50 °C
CPU Load: 61.28% | Memory Usage: 30.33% | CPU Temperature: 61.25 °C
CPU Load: 39.42% | Memory Usage: 30.33% | CPU Temperature: 60.62 °C
CPU Load: 44.67% | Memory Usage: 29.96% | CPU Temperature: 61.25 °C
CPU Load: 70.71% | Memory Usage: 30.27% | CPU Temperature: 63.12 °C
CPU Load: 72.05% | Memory Usage: 30.33% | CPU Temperature: 60.62 °C
CPU Load: 70.61% | Memory Usage: 30.38% | CPU Temperature: 63.12 °C
CPU Load: 67.96% | Memory Usage: 30.33% | CPU Temperature: 61.87 °C
CPU Load: 66.95% | Memory Usage: 30.33% | CPU Temperature: 61.25 °C
CPU Load: 67.68% | Memory Usage: 30.33% | CPU Temperature: 61.25 °C
CPU Load: 56.59% | Memory Usage: 30.33% | CPU Temperature: 61.25 °C
CPU Load: 60.23% | Memory Usage: 30.33% | CPU Temperature: 61.25 °C
CPU Load: 56.04% | Memory Usage: 30.27% | CPU Temperature: 61.87 °C
CPU Load: 66.89% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 57.29% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 65.09% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 43.68% | Memory Usage: 30.17% | CPU Temperature: 60.62 °C
CPU Load: 40.67% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 24.20% | Memory Usage: 30.12% | CPU Temperature: 59.44 °C
CPU Load: 43.46% | Memory Usage: 30.12% | CPU Temperature: 59.44 °C
CPU Load: 60.94% | Memory Usage: 30.12% | CPU Temperature: 61.87 °C
CPU Load: 64.72% | Memory Usage: 30.07% | CPU Temperature: 62.50 °C
CPU Load: 66.22% | Memory Usage: 30.12% | CPU Temperature: 62.50 °C
CPU Load: 59.26% | Memory Usage: 30.12% | CPU Temperature: 62.50 °C
CPU Load: 65.27% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 48.91% | Memory Usage: 30.12% | CPU Temperature: 63.12 °C
CPU Load: 61.47% | Memory Usage: 30.07% | CPU Temperature: 62.50 °C
CPU Load: 58.70% | Memory Usage: 30.12% | CPU Temperature: 63.75 °C
CPU Load: 53.70% | Memory Usage: 30.12% | CPU Temperature: 63.75 °C
CPU Load: 53.87% | Memory Usage: 30.12% | CPU Temperature: 61.87 °C
CPU Load: 67.00% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 57.72% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 40.67% | Memory Usage: 30.12% | CPU Temperature: 63.75 °C
CPU Load: 37.44% | Memory Usage: 30.12% | CPU Temperature: 60.00 °C
CPU Load: 14.77% | Memory Usage: 26.85% | CPU Temperature: 58.33 °C
CPU Load: 53.61% | Memory Usage: 30.12% | CPU Temperature: 60.62 °C
CPU Load: 62.39% | Memory Usage: 30.12% | CPU Temperature: 61.87 °C
CPU Load: 61.15% | Memory Usage: 30.17% | CPU Temperature: 60.62 °C
CPU Load: 60.61% | Memory Usage: 30.17% | CPU Temperature: 63.75 °C
CPU Load: 48.49% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 69.75% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 60.24% | Memory Usage: 30.38% | CPU Temperature: 61.25 °C
CPU Load: 57.98% | Memory Usage: 30.43% | CPU Temperature: 60.62 °C
CPU Load: 49.92% | Memory Usage: 30.43% | CPU Temperature: 61.87 °C
CPU Load: 70.02% | Memory Usage: 30.43% | CPU Temperature: 61.87 °C
CPU Load: 54.10% | Memory Usage: 30.38% | CPU Temperature: 61.25 °C
CPU Load: 62.18% | Memory Usage: 30.43% | CPU Temperature: 63.75 °C
CPU Load: 50.59% | Memory Usage: 30.43% | CPU Temperature: 62.50 °C
CPU Load: 51.02% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 29.05% | Memory Usage: 30.12% | CPU Temperature: 60.00 °C
CPU Load: 45.25% | Memory Usage: 30.07% | CPU Temperature: 59.44 °C
CPU Load: 65.60% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 64.36% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 61.20% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 60.50% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 55.54% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 59.23% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 53.43% | Memory Usage: 30.12% | CPU Temperature: 61.87 °C
CPU Load: 51.01% | Memory Usage: 30.07% | CPU Temperature: 61.87 °C
CPU Load: 52.68% | Memory Usage: 30.17% | CPU Temperature: 63.12 °C
CPU Load: 66.78% | Memory Usage: 30.12% | CPU Temperature: 62.50 °C
CPU Load: 60.23% | Memory Usage: 30.12% | CPU Temperature: 63.12 °C
CPU Load: 66.22% | Memory Usage: 30.07% | CPU Temperature: 63.75 °C
CPU Load: 40.17% | Memory Usage: 30.12% | CPU Temperature: 61.87 °C
CPU Load: 35.70% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 22.32% | Memory Usage: 30.17% | CPU Temperature: 57.22 °C
CPU Load: 43.34% | Memory Usage: 30.07% | CPU Temperature: 58.88 °C
CPU Load: 54.29% | Memory Usage: 30.07% | CPU Temperature: 60.62 °C
CPU Load: 65.71% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 62.37% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 60.80% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 67.17% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 49.16% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 61.54% | Memory Usage: 30.17% | CPU Temperature: 60.62 °C
CPU Load: 58.12% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 53.51% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 54.45% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 64.71% | Memory Usage: 30.12% | CPU Temperature: 61.87 °C
CPU Load: 52.34% | Memory Usage: 30.12% | CPU Temperature: 62.50 °C
CPU Load: 41.39% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 37.04% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 16.19% | Memory Usage: 26.85% | CPU Temperature: 57.77 °C
CPU Load: 51.94% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 60.30% | Memory Usage: 30.12% | CPU Temperature: 61.87 °C
CPU Load: 60.20% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 57.34% | Memory Usage: 30.12% | CPU Temperature: 62.50 °C
CPU Load: 52.11% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 68.18% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 59.43% | Memory Usage: 30.07% | CPU Temperature: 63.12 °C
CPU Load: 58.18% | Memory Usage: 30.12% | CPU Temperature: 61.87 °C
CPU Load: 51.01% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 69.58% | Memory Usage: 30.12% | CPU Temperature: 61.87 °C
CPU Load: 51.26% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 65.21% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 50.76% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 47.81% | Memory Usage: 30.12% | CPU Temperature: 60.62 °C
CPU Load: 30.60% | Memory Usage: 30.12% | CPU Temperature: 59.44 °C
CPU Load: 46.87% | Memory Usage: 30.12% | CPU Temperature: 59.44 °C
CPU Load: 62.46% | Memory Usage: 30.12% | CPU Temperature: 60.62 °C
CPU Load: 63.42% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 59.19% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 58.56% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 53.55% | Memory Usage: 30.07% | CPU Temperature: 60.62 °C
CPU Load: 62.27% | Memory Usage: 30.12% | CPU Temperature: 60.62 °C
CPU Load: 53.79% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 49.33% | Memory Usage: 30.07% | CPU Temperature: 60.62 °C
CPU Load: 56.38% | Memory Usage: 30.12% | CPU Temperature: 62.50 °C
CPU Load: 62.33% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 57.89% | Memory Usage: 30.12% | CPU Temperature: 61.87 °C
CPU Load: 62.44% | Memory Usage: 30.12% | CPU Temperature: 61.87 °C
CPU Load: 37.94% | Memory Usage: 30.12% | CPU Temperature: 60.62 °C
CPU Load: 37.92% | Memory Usage: 30.07% | CPU Temperature: 60.00 °C
CPU Load: 21.61% | Memory Usage: 30.12% | CPU Temperature: 58.33 °C
CPU Load: 43.94% | Memory Usage: 30.12% | CPU Temperature: 59.44 °C
CPU Load: 56.19% | Memory Usage: 30.12% | CPU Temperature: 60.00 °C
CPU Load: 62.39% | Memory Usage: 30.17% | CPU Temperature: 60.62 °C
CPU Load: 64.50% | Memory Usage: 30.17% | CPU Temperature: 61.25 °C
CPU Load: 56.11% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 67.06% | Memory Usage: 30.12% | CPU Temperature: 62.50 °C
CPU Load: 51.09% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 63.19% | Memory Usage: 30.07% | CPU Temperature: 62.50 °C
CPU Load: 60.34% | Memory Usage: 30.02% | CPU Temperature: 60.62 °C
CPU Load: 53.90% | Memory Usage: 30.12% | CPU Temperature: 62.50 °C
CPU Load: 55.03% | Memory Usage: 30.07% | CPU Temperature: 62.50 °C
CPU Load: 65.33% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 55.37% | Memory Usage: 30.17% | CPU Temperature: 63.12 °C
CPU Load: 38.62% | Memory Usage: 30.27% | CPU Temperature: 63.12 °C
CPU Load: 36.83% | Memory Usage: 30.17% | CPU Temperature: 60.00 °C
CPU Load: 16.78% | Memory Usage: 26.91% | CPU Temperature: 56.66 °C
CPU Load: 48.40% | Memory Usage: 30.12% | CPU Temperature: 61.25 °C
CPU Load: 57.74% | Memory Usage: 30.17% | CPU Temperature: 62.50 °C
CPU Load: 58.53% | Memory Usage: 30.17% | CPU Temperature: 61.87 °C
CPU Load: 59.26% | Memory Usage: 30.22% | CPU Temperature: 63.75 °C
CPU Load: 52.11% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
CPU Load: 67.74% | Memory Usage: 30.22% | CPU Temperature: 61.25 °C
